@relation featureMatrix-weka.filters.unsupervised.attribute.Remove-R10

@attribute unnormalizedSpectralEntropy numeric
@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute normalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute mostDominantFrequency_min numeric
@attribute cepstralMostDominantPeak numeric
@attribute cepstralMostDominantPeak_min numeric
@attribute cepstralLocPeak numeric
@attribute class {0,1}

@data
66.973,0,5.2854,0,710.6,0,0.007866,0,139,0
67.131,0.15759,5.2594,-0.025911,925.93,215.33,0.009741,0.001875,145,0
72.889,5.9154,5.3065,0,1916.5,1205.9,0.007961,0.000095,154,0
88.971,21.998,5.4885,0,882.86,172.27,0.014013,0.006147,44,0
91.045,24.071,5.5117,0,882.86,172.27,0.012667,0.004801,52,1
63.013,0,5.2883,-0.22337,538.33,0,0.017985,0.010119,21,1
1223.6,1160.5,4.7392,-0.77251,495.26,0,0.028237,0.020371,126,1
1733.4,1670.4,4.759,-0.75264,452.2,0,0.045281,0.037415,55,1
1470.1,1407.1,4.5461,-0.96558,430.66,0,0.10461,0.096744,54,1
1661.4,1598.3,4.6393,-0.87232,430.66,0,0.1153,0.10743,53,1
1905.2,1842.2,4.8211,-0.69057,452.2,21.533,0.11359,0.10573,51,1
2015.5,1952.5,4.6152,-0.89651,452.2,21.533,0.13852,0.13066,48,1
2289.7,2226.7,4.3435,-1.1681,452.2,21.533,0.18508,0.17721,47,1
2438.5,2375.4,4.5463,-0.96535,473.73,43.066,0.16749,0.15962,47,1
2421.3,2358.3,4.637,-0.87465,452.2,21.533,0.17311,0.16525,49,1
2660.1,2597.1,4.7844,-0.72725,452.2,21.533,0.16144,0.15358,47,1
2808.6,2745.6,4.518,-0.99362,473.73,43.066,0.16064,0.15277,45,1
2949.2,2886.2,4.6711,-0.84055,473.73,43.066,0.19497,0.1871,47,1
3096.4,3033.4,4.7898,-0.72181,473.73,43.066,0.16592,0.15805,46,1
3788.3,3725.3,4.658,-0.85364,473.73,43.066,0.20131,0.19345,43,1
3485.7,3422.7,4.3657,-1.1459,495.26,64.6,0.17541,0.16755,42,1
3574.9,3511.9,4.457,-1.0547,495.26,64.6,0.18867,0.18081,42,1
3464.5,3401.5,4.4561,-1.0556,473.73,43.066,0.18161,0.17375,43,1
3117.2,3054.1,4.4385,-1.0731,473.73,43.066,0.15937,0.1515,44,1
3004.7,2941.7,4.3903,-1.1214,473.73,43.066,0.14636,0.13849,44,1
2920.4,2857.4,4.3383,-1.1733,473.73,43.066,0.15135,0.14349,45,1
3056.6,2993.6,4.4427,-1.0689,473.73,43.066,0.16524,0.15738,44,1
2872.4,2809.4,4.5054,-1.0062,473.73,43.066,0.14317,0.13531,43,1
2960,2897,4.3734,-1.1383,495.26,64.6,0.17145,0.16358,41,1
2984.1,2921.1,4.2427,-1.2689,495.26,64.6,0.1682,0.16034,40,1
3259,3196,4.3726,-1.139,495.26,64.6,0.14129,0.13342,39,1
3308.7,3245.7,4.2772,-1.2345,495.26,64.6,0.13966,0.13179,39,1
3325.9,3262.8,4.332,-1.1796,495.26,64.6,0.15864,0.15077,130,1
3271.2,3208.2,4.3417,-1.17,516.8,86.133,0.15221,0.14434,38,1
3271.3,3208.3,4.4547,-1.057,516.8,86.133,0.13586,0.12799,38,1
3347.9,3284.9,4.394,-1.1176,516.8,86.133,0.14461,0.13674,37,1
3480.3,3417.2,4.2068,-1.3049,516.8,86.133,0.14206,0.13419,127,1
3557.3,3494.2,4.186,-1.3257,516.8,86.133,0.14231,0.13444,36,1
3659.6,3596.6,4.206,-1.3056,516.8,86.133,0.15437,0.14651,36,1
3741.7,3678.7,4.1119,-1.3997,516.8,86.133,0.14944,0.14157,124,1
3824.1,3761.1,4.1733,-1.3384,516.8,86.133,0.15068,0.14282,35,1
3835.8,3772.8,4.0683,-1.4434,516.8,86.133,0.14984,0.14198,35,1
3900.5,3837.5,4.0698,-1.4419,516.8,86.133,0.14998,0.14211,35,1
3988.1,3925.1,4.1639,-1.3477,516.8,86.133,0.15855,0.15069,36,1
3988.4,3925.4,4.1979,-1.3137,516.8,86.133,0.18081,0.17295,36,1
4015.4,3952.4,4.1153,-1.3963,516.8,86.133,0.1539,0.14604,36,1
3871,3808,3.9727,-1.5389,516.8,86.133,0.16107,0.1532,37,1
3593.5,3530.5,3.8876,-1.6241,516.8,86.133,0.13408,0.12622,36,1
3416.9,3353.9,3.8163,-1.6954,516.8,86.133,0.11631,0.10845,37,1
