@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,0.46919,22,0,0,0,0,0
0.061444,0.049002,0.42134,21,0,0,0,0,0
0.053477,0.049002,0.49937,23,0,0,0.078022,2,0
0.048074,0.060799,0.4917,20,0,0.011797,0.070361,0,0
0.0453,0.060799,0.44574,21,0,0.011797,0.024397,1,1
0.062414,0.049002,0.43749,18,0.017114,0,0.016146,0,1
0.11699,0.049002,0.66119,17,0.071691,0,0.23984,0,1
0.14549,0.049909,0.72157,23,0.10019,0.00090744,0.30023,6,1
0.15196,0.054446,0.91701,28,0.10666,0.0054446,0.49567,11,1
0.16855,0.058076,0.76169,30,0.12325,0.0090744,0.34035,13,1
0.18053,0.058076,0.67706,28,0.13523,0.0090744,0.25572,11,1
0.21462,0.058076,0.73489,32,0.16932,0.0090744,0.31355,15,1
0.26675,0.050817,0.79153,33,0.22145,0.0018149,0.37019,16,1
0.26697,0.056261,0.77323,32,0.22167,0.0072595,0.35189,15,1
0.25182,0.064428,0.81722,33,0.20652,0.015426,0.39588,16,1
0.26081,0.061706,0.55907,31,0.21551,0.012704,0.13773,14,1
0.26094,0.068058,0.71287,33,0.21564,0.019056,0.29152,16,1
0.25732,0.075318,0.70008,33,0.21202,0.026316,0.27874,16,1
0.27439,0.072595,0.7455,30,0.22909,0.023593,0.32416,13,1
0.32387,0.058984,0.75563,27,0.27857,0.0099819,0.33429,10,1
0.30599,0.066243,0.98228,36,0.26069,0.017241,0.56094,19,1
0.27933,0.068058,0.99798,34,0.23403,0.019056,0.57663,17,1
0.2659,0.07078,1.1342,33,0.2206,0.021779,0.71285,16,1
0.23467,0.086207,1.2129,34,0.18937,0.037205,0.79159,17,1
0.2458,0.086207,1.1912,34,0.2005,0.037205,0.7699,17,1
0.23513,0.090744,1.1981,34,0.18983,0.041742,0.77677,17,1
0.24446,0.083485,1.2075,34,0.19916,0.034483,0.78617,17,1
0.26087,0.060799,1.2425,9,0.21557,0.011797,0.82117,0,1
0.26771,0.051724,1.41,9,0.22241,0.0027223,0.98868,0,1
0.28216,0.051724,1.4882,9,0.23687,0.0027223,1.0669,0,1
0.30426,0.041742,1.514,9,0.25896,0,1.0927,0,1
0.31609,0.037205,1.4822,9,0.27079,0,1.0608,0,1
0.30133,0.046279,1.3755,9,0.25603,0.0090744,0.95414,0,1
0.28428,0.052632,1.403,9,0.23898,0.015426,0.98165,0,1
0.28008,0.051724,1.3717,9,0.23478,0.014519,0.95038,0,1
0.29564,0.049909,1.4599,9,0.25034,0.012704,1.0386,0,1
0.32139,0.047187,1.4267,9,0.27609,0.0099819,1.0054,0,1
0.33868,0.046279,1.3786,9,0.29338,0.0090744,0.95728,0,1
0.34643,0.049909,1.2993,9,0.30113,0.012704,0.87797,0,1
0.37074,0.043557,1.3817,9,0.32544,0.0063521,0.96036,0,1
0.40237,0.029946,1.5393,10,0.35707,0,1.1179,1,1
0.39803,0.026316,1.4807,10,0.35273,0,1.0593,1,1
0.38175,0.033575,1.5627,10,0.33645,0.0072595,1.1414,1,1
0.36232,0.050817,1.4643,9,0.31702,0.024501,1.043,0,1
0.34,0.057169,1.4221,9,0.2947,0.030853,1.0007,0,1
0.36333,0.048094,1.5256,9,0.31803,0.021779,1.1042,0,1
0.38102,0.039927,1.5431,9,0.33572,0.013612,1.1218,0,1
0.37292,0.03176,1.5411,9,0.32762,0.0054446,1.1198,0,1
0.376,0.026316,1.4962,9,0.3307,0,1.0748,0,1
0.38838,0.023593,1.5318,9,0.34308,0,1.1105,0,1
0.41751,0.022686,1.4971,10,0.37221,0,1.0758,1,1
0.43654,0.023593,1.5918,10,0.39124,0.00090744,1.1704,1,1
0.38575,0.023593,1.5629,10,0.34045,0.00090744,1.1416,1,1
0.30098,0.023593,1.586,10,0.25568,0.00090744,1.1647,1,1
0.24969,0.023593,1.3434,10,0.20439,0.00090744,0.92209,1,1
0.19837,0.023593,1.431,9,0.15307,0.00090744,1.0096,0,1
0.13233,0.034483,0.91857,8,0.087029,0.011797,0.49722,0,1
0.081775,0.04265,0.48213,13,0.036475,0.019964,0.060781,5,1
0.0695,0.037205,0.3368,27,0.0242,0.014519,0,19,1
0.072868,0.03176,0.52999,9,0.027569,0.0090744,0.19318,1,1
0.069398,0.032668,0.47407,13,0.024099,0.0099819,0.13727,5,1
0.056154,0.034483,0.53523,23,0.010855,0.011797,0.19843,15,0
0.054794,0.037205,0.58226,8,0.0094947,0.014519,0.24546,0,0
0.061619,0.034483,0.66058,10,0.01632,0.011797,0.32377,2,0
