@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.46919,22,0,0,0
0.42134,21,0,0,0
0.49937,23,0.078022,2,0
0.4917,20,0.070361,0,0
0.44574,21,0.024397,1,1
0.43749,18,0.016146,0,1
0.66119,17,0.23984,0,1
0.72157,23,0.30023,6,1
0.91701,28,0.49567,11,1
0.76169,30,0.34035,13,1
0.67706,28,0.25572,11,1
0.73489,32,0.31355,15,1
0.79153,33,0.37019,16,1
0.77323,32,0.35189,15,1
0.81722,33,0.39588,16,1
0.55907,31,0.13773,14,1
0.71287,33,0.29152,16,1
0.70008,33,0.27874,16,1
0.7455,30,0.32416,13,1
0.75563,27,0.33429,10,1
0.98228,36,0.56094,19,1
0.99798,34,0.57663,17,1
1.1342,33,0.71285,16,1
1.2129,34,0.79159,17,1
1.1912,34,0.7699,17,1
1.1981,34,0.77677,17,1
1.2075,34,0.78617,17,1
1.2425,9,0.82117,0,1
1.41,9,0.98868,0,1
1.4882,9,1.0669,0,1
1.514,9,1.0927,0,1
1.4822,9,1.0608,0,1
1.3755,9,0.95414,0,1
1.403,9,0.98165,0,1
1.3717,9,0.95038,0,1
1.4599,9,1.0386,0,1
1.4267,9,1.0054,0,1
1.3786,9,0.95728,0,1
1.2993,9,0.87797,0,1
1.3817,9,0.96036,0,1
1.5393,10,1.1179,1,1
1.4807,10,1.0593,1,1
1.5627,10,1.1414,1,1
1.4643,9,1.043,0,1
1.4221,9,1.0007,0,1
1.5256,9,1.1042,0,1
1.5431,9,1.1218,0,1
1.5411,9,1.1198,0,1
1.4962,9,1.0748,0,1
1.5318,9,1.1105,0,1
1.4971,10,1.0758,1,1
1.5918,10,1.1704,1,1
1.5629,10,1.1416,1,1
1.586,10,1.1647,1,1
1.3434,10,0.92209,1,1
1.431,9,1.0096,0,1
0.91857,8,0.49722,0,1
0.48213,13,0.060781,5,1
0.3368,27,0,19,1
0.52999,9,0.19318,1,1
0.47407,13,0.13727,5,1
0.53523,23,0.19843,15,0
0.58226,8,0.24546,0,0
0.66058,10,0.32377,2,0
0.82236,7,0.48556,0,0
0.60858,7,0.27177,0,0
0.48264,12,0.14584,5,0
0.95207,10,0.61527,3,0
1.2103,10,0.87345,3,0
1.2534,10,0.91661,3,0
1.1843,10,0.84749,3,0
1.1994,10,0.86259,3,0
1.2849,10,0.94806,3,0
1.2118,10,0.87495,3,0
1.1228,9,0.78596,2,0
0.89099,9,0.55419,2,0
0.87953,9,0.54273,2,0
0.85062,9,0.51382,2,0
0.48103,10,0.14423,3,0
0.86364,8,0.52684,1,0
0.86519,7,0.52839,0,0
0.69525,9,0.35845,2,0
0.6928,9,0.356,2,0
0.49232,8,0.15552,1,0
0.68173,10,0.34493,3,0
0.53089,12,0.19409,5,0
0.55001,12,0.21321,5,1
0.46931,9,0.13251,2,1
1.0196,9,0.68282,2,1
1.3205,9,0.98371,2,1
1.2119,9,0.87507,2,1
1.1182,13,0.78144,6,1
1.2992,15,0.96239,8,1
1.1313,15,0.79447,8,1
1.0199,21,0.68312,14,1
1.1368,18,0.79999,11,1
1.2171,9,0.88032,2,1
1.2344,19,0.89761,12,1
1.4441,20,1.1073,13,1
1.2013,22,0.8645,15,1
1.2814,31,0.94457,24,1
1.2644,15,0.92763,8,1
1.3363,9,0.99953,2,1
1.2042,9,0.86744,2,1
1.3385,9,1.0017,2,1
1.1838,9,0.84697,2,1
1.1782,14,0.84144,7,1
1.2392,9,0.90244,2,1
1.0209,8,0.68408,1,1
1.0559,8,0.71911,1,1
1.1875,10,0.85072,3,1
1.0275,24,0.69073,17,1
1.0891,26,0.75227,19,1
0.96478,68,0.62798,61,1
1.0098,82,0.67296,75,1
1.1097,55,0.77292,48,1
1.242,48,0.90525,41,1
1.0647,25,0.72794,18,1
1.184,9,0.84718,2,1
1.236,15,0.89924,8,1
1.0452,16,0.70836,9,1
0.90612,26,0.56932,19,1
0.94801,27,0.61121,20,1
1.2148,13,0.87799,6,1
1.2389,11,0.9021,4,1
1.2605,9,0.92373,2,1
1.3462,20,1.0094,13,1
1.2548,25,0.91803,18,1
1.2472,34,0.91039,27,1
1.1047,23,0.76787,16,1
0.98888,24,0.65208,17,1
0.9031,24,0.56629,17,1
0.9942,23,0.6574,16,1
1.0116,22,0.67482,15,1
0.97815,24,0.64134,17,1
0.84909,22,0.51229,15,1
0.86549,18,0.52869,11,1
0.91432,21,0.57752,14,1
1.0142,21,0.67744,14,1
1.1135,17,0.7767,10,1
0.98631,22,0.64951,15,1
1.0032,39,0.6664,32,1
1.1788,40,0.84204,33,1
1.2647,40,0.92789,33,1
1.2526,40,0.91576,33,1
1.2583,40,0.92153,33,1
1.3222,40,0.9854,33,1
1.2719,24,0.93513,17,1
1.4728,10,1.136,3,1
1.4861,9,1.1493,2,1
1.4916,34,1.1548,27,1
1.4765,14,1.1397,7,1
1.5036,9,1.1668,2,1
1.5215,9,1.1847,2,1
1.4738,9,1.137,2,1
1.4122,9,1.0754,2,1
1.4524,9,1.1156,2,1
1.4223,9,1.0855,2,1
1.3535,9,1.0167,2,1
1.2218,9,0.88498,2,1
1.3728,9,1.036,2,1
1.2971,9,0.96031,2,1
1.197,9,0.86021,2,1
1.2798,9,0.94295,2,1
1.345,9,1.0082,2,1
1.3389,9,1.0021,2,1
1.2934,9,0.95657,2,1
1.1186,9,0.78176,2,1
0.83022,14,0.49342,7,1
0.59826,24,0.26146,17,1
0.74884,14,0.41204,7,1
0.96818,12,0.63138,5,1
0.58862,17,0.25181,10,1
0.52436,17,0.18756,10,1
0.45971,16,0.12291,9,1
0.6219,12,0.2851,5,1
0.55564,14,0.21884,7,1
0.46143,13,0.12463,6,1
0.63061,13,0.29381,6,1
0.64435,8,0.30755,1,1
0.41764,25,0.080839,18,1
0.30303,28,0,21,1
0.39105,29,0.088026,22,1
0.30924,15,0.0062177,8,1
0.44294,9,0.13991,2,1
0.44064,13,0.13761,6,1
0.35317,14,0.050141,7,1
0.43318,14,0.13016,7,1
0.40908,12,0.10605,5,1
0.2566,26,0,19,1
0.35309,35,0.09649,28,1
0.54349,25,0.28689,18,1
0.67218,17,0.41558,10,1
0.8453,11,0.5887,4,1
0.86976,10,0.61316,3,1
0.46593,24,0.20933,17,1
0.30778,35,0.051175,28,1
0.40453,26,0.14793,19,1
0.42961,18,0.17301,11,1
0.40645,19,0.14985,12,1
0.49542,18,0.23882,11,0
0.68456,16,0.42796,9,0
0.31689,31,0.060291,24,0
0.48979,19,0.23319,12,0
0.56947,15,0.31286,8,0
0.62229,9,0.36569,2,0
0.71007,12,0.45347,5,0
0.40701,20,0.15041,13,0
0.50266,15,0.24606,8,0
0.48791,14,0.23131,7,0
0.30251,26,0.04591,19,0
0.36895,19,0.11235,12,0
0.41064,12,0.15404,5,0
0.29416,19,0.037556,12,0
0.31692,25,0.060319,18,0
0.31743,29,0.060826,22,0
0.52536,22,0.26876,15,0
0.38283,29,0.12623,22,0
0.2943,37,0.037695,30,0
0.47495,25,0.21835,18,0
0.46263,22,0.20603,15,0
0.51553,22,0.25893,15,0
0.54855,17,0.29195,10,0
0.52892,17,0.27232,10,0
0.40987,13,0.15327,6,0
0.41745,18,0.16085,11,0
0.32427,26,0.067665,19,0
0.26365,32,0.0070441,25,0
0.53228,22,0.27568,15,0
0.71496,12,0.45836,5,0
0.46802,19,0.21142,12,0
0.46332,19,0.20672,12,0
0.67788,22,0.42128,15,0
0.78319,22,0.52659,15,0
0.97971,14,0.72311,7,0
0.84779,15,0.59119,8,0
0.66521,18,0.40861,11,0
0.48502,20,0.22842,13,0
0.53159,25,0.27499,18,0
0.33194,41,0.075335,34,0
0.7018,20,0.4452,13,0
0.54463,18,0.28802,11,0
0.8169,15,0.5603,8,0
0.70963,14,0.45303,7,0
0.62027,13,0.36366,6,0
0.49556,14,0.23896,7,0
0.49277,18,0.23617,11,0
0.82178,13,0.56518,6,0
0.71922,16,0.46262,9,0
0.77073,14,0.51413,7,0
0.8395,14,0.5829,7,0
0.78291,14,0.52631,7,0
0.68803,14,0.43143,7,0
0.81006,15,0.55346,8,0
0.81551,15,0.55891,8,0
0.37629,24,0.11969,17,0
0.35825,22,0.10165,15,0
0.37381,22,0.1172,15,0
0.32374,26,0.067139,19,0
0.45425,20,0.19765,13,0
0.66494,10,0.40834,3,0
0.64832,8,0.39171,1,0
0.46486,9,0.20826,2,0
0.7457,10,0.4891,3,0
0.79786,10,0.54126,3,0
0.59108,11,0.33448,4,0
0.35692,17,0.10032,10,0
0.579,11,0.3224,4,0
0.5945,14,0.3379,7,0
0.3485,19,0.091896,12,0
0.44225,14,0.18565,7,0
0.41704,15,0.16044,8,0
0.48902,20,0.23241,13,0
0.62176,10,0.36516,3,0
