@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.06319,0.049909,0.0018094,0,0,0
0.061444,0.049002,0.014567,1,28,0
0.053477,0.049002,0.0024564,0,0,0
0.048074,0.060799,0.0097519,0,0,0
0.0453,0.060799,0.012921,1,23,1
0.062414,0.049002,0.017711,1,28,1
0.11699,0.049002,0.014926,2,15,1
0.14549,0.049909,0.027613,1,15,1
0.15196,0.054446,0.032404,2,15,1
0.16855,0.058076,0.043761,2,15,1
0.18053,0.058076,0.040352,3,15,1
0.21462,0.058076,0.04356,3,15,1
0.26675,0.050817,0.05012,3,15,1
0.26697,0.056261,0.046821,4,4,1
0.25182,0.064428,0.057759,3,15,1
0.26081,0.061706,0.053588,4,4,1
0.26094,0.068058,0.06251,3,13,1
0.25732,0.075318,0.060274,4,4,1
0.27439,0.072595,0.064799,4,4,1
0.32387,0.058984,0.068461,4,4,1
0.30599,0.066243,0.040232,3,15,1
0.27933,0.068058,0.052064,4,4,1
0.2659,0.07078,0.058045,4,4,1
0.23467,0.086207,0.060266,4,4,1
0.2458,0.086207,0.042851,4,4,1
0.23513,0.090744,0.039919,3,13,1
0.24446,0.083485,0.04229,4,4,1
0.26087,0.060799,0.043775,4,4,1
0.26771,0.051724,0.040154,4,4,1
0.28216,0.051724,0.036451,3,4,1
0.30426,0.041742,0.038154,3,4,1
0.31609,0.037205,0.042914,3,4,1
0.30133,0.046279,0.036839,5,4,1
0.28428,0.052632,0.044929,4,4,1
0.28008,0.051724,0.043492,4,5,1
0.29564,0.049909,0.055349,5,5,1
0.32139,0.047187,0.046061,4,3,1
0.33868,0.046279,0.036224,5,3,1
0.34643,0.049909,0.046994,5,3,1
0.37074,0.043557,0.038382,3,3,1
0.40237,0.029946,0.024213,4,4,1
0.39803,0.026316,0.05069,4,4,1
0.38175,0.033575,0.051002,4,4,1
0.36232,0.050817,0.057382,3,4,1
0.34,0.057169,0.064044,4,4,1
0.36333,0.048094,0.050175,3,4,1
0.38102,0.039927,0.049489,4,4,1
0.37292,0.03176,0.035715,3,4,1
0.376,0.026316,0.033413,4,4,1
0.38838,0.023593,0.038904,5,4,1
0.41751,0.022686,0.020766,4,3,1
0.43654,0.023593,0.014534,3,10,1
0.38575,0.023593,0.031817,3,3,1
0.30098,0.023593,0.033921,4,3,1
0.24969,0.023593,0.031116,3,3,1
0.19837,0.023593,0.033697,3,3,1
0.13233,0.034483,0.0249,1,13,1
0.081775,0.04265,0.031333,1,13,1
0.0695,0.037205,0.020074,2,12,1
0.072868,0.03176,0.013274,1,13,1
0.069398,0.032668,0.0088349,0,0,1
0.056154,0.034483,0.011986,1,15,0
0.054794,0.037205,0.0022754,0,0,0
0.061619,0.034483,0.0027245,0,0,0
0.065887,0.026316,0.0017793,0,0,0
0.067939,0.018149,0.01115,1,15,0
0.085652,0.018149,0.0014462,0,0,0
0.12795,0.024501,0.00049832,0,0,0
0.19609,0.022686,0.0012033,0,0,0
0.22847,0.023593,0.0050828,0,0,0
0.22951,0.022686,0.008781,0,0,0
0.25832,0.022686,0.013065,1,24,0
0.27648,0.023593,0.017525,2,15,0
0.27562,0.022686,0.010928,1,24,0
