@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0018094,0,0,0
0.014567,1,28,0
0.0024564,0,0,0
0.0097519,0,0,0
0.012921,1,23,1
0.017711,1,28,1
0.014926,2,15,1
0.027613,1,15,1
0.032404,2,15,1
0.043761,2,15,1
0.040352,3,15,1
0.04356,3,15,1
0.05012,3,15,1
0.046821,4,4,1
0.057759,3,15,1
0.053588,4,4,1
0.06251,3,13,1
0.060274,4,4,1
0.064799,4,4,1
0.068461,4,4,1
0.040232,3,15,1
0.052064,4,4,1
0.058045,4,4,1
0.060266,4,4,1
0.042851,4,4,1
0.039919,3,13,1
0.04229,4,4,1
0.043775,4,4,1
0.040154,4,4,1
0.036451,3,4,1
0.038154,3,4,1
0.042914,3,4,1
0.036839,5,4,1
0.044929,4,4,1
0.043492,4,5,1
0.055349,5,5,1
0.046061,4,3,1
0.036224,5,3,1
0.046994,5,3,1
0.038382,3,3,1
0.024213,4,4,1
0.05069,4,4,1
0.051002,4,4,1
0.057382,3,4,1
0.064044,4,4,1
0.050175,3,4,1
0.049489,4,4,1
0.035715,3,4,1
0.033413,4,4,1
0.038904,5,4,1
0.020766,4,3,1
0.014534,3,10,1
0.031817,3,3,1
0.033921,4,3,1
0.031116,3,3,1
0.033697,3,3,1
0.0249,1,13,1
0.031333,1,13,1
0.020074,2,12,1
0.013274,1,13,1
0.0088349,0,0,1
0.011986,1,15,0
0.0022754,0,0,0
0.0027245,0,0,0
0.0017793,0,0,0
0.01115,1,15,0
0.0014462,0,0,0
0.00049832,0,0,0
0.0012033,0,0,0
0.0050828,0,0,0
0.008781,0,0,0
0.013065,1,24,0
0.017525,2,15,0
0.010928,1,24,0
0.0080894,0,0,0
0.0066859,0,0,0
0.0031726,0,0,0
0.016482,1,15,0
0.018384,1,14,0
0.019061,1,14,0
0.021064,1,13,0
0.0083881,0,0,0
0.0014289,0,0,0
0.003333,0,0,0
0.0077064,0,0,0
0.014513,1,8,0
0.015909,2,8,1
0.0040781,0,0,1
0.011888,3,13,1
0.038145,1,13,1
0.052036,4,4,1
0.042951,3,4,1
0.04254,3,4,1
0.064254,4,4,1
0.054261,3,4,1
0.055585,3,4,1
0.056245,3,4,1
0.051167,4,4,1
0.040174,4,4,1
0.050456,3,4,1
0.042352,4,4,1
0.055634,3,4,1
0.041806,4,4,1
0.045623,4,4,1
0.039857,3,4,1
0.060171,2,4,1
0.057247,3,4,1
0.067162,3,4,1
0.088165,2,4,1
0.061685,2,4,1
0.058366,3,4,1
0.058386,4,4,1
0.061965,3,4,1
0.054527,3,4,1
0.054462,4,4,1
0.056075,4,4,1
0.064579,4,4,1
0.061665,3,4,1
0.054684,4,4,1
0.050727,4,4,1
0.061647,3,4,1
0.05283,4,4,1
0.052251,3,4,1
0.054582,3,4,1
0.054551,2,4,1
0.055878,3,4,1
0.057004,3,4,1
0.047841,2,12,1
0.043179,4,4,1
0.062132,3,4,1
0.064334,3,4,1
0.059731,3,4,1
0.0588,3,4,1
0.052516,3,4,1
0.049755,2,12,1
0.074398,3,4,1
0.071478,1,11,1
0.056371,1,11,1
0.048769,1,11,1
0.044056,1,12,1
0.042453,2,12,1
0.046001,3,11,1
0.04994,1,12,1
0.044892,1,12,1
0.044444,2,12,1
0.044134,3,12,1
0.049563,1,13,1
0.057979,3,12,1
0.067424,2,12,1
0.081506,4,4,1
0.057253,2,13,1
0.077145,2,13,1
0.069993,4,4,1
0.071854,4,4,1
0.073874,4,4,1
0.066879,2,13,1
0.080172,2,13,1
0.07651,3,4,1
0.080335,3,4,1
0.082152,3,4,1
0.077832,2,13,1
0.078754,3,5,1
0.075958,3,5,1
0.062549,4,5,1
0.047953,3,5,1
0.058715,3,5,1
0.062084,3,5,1
0.07806,2,4,1
0.042116,3,13,1
0.012772,1,13,1
0.031637,1,14,1
0.022453,1,13,1
0.019798,2,13,1
0.014358,1,12,1
0.030628,1,13,1
0.033245,1,14,1
0.026271,1,13,1
0.040551,1,13,1
0.013638,1,12,1
0.01637,1,12,1
0.045746,1,12,1
0.045254,1,13,1
0.03959,1,13,1
0.035566,1,13,1
0.024414,1,13,1
0.024094,1,12,1
0.0042744,0,0,1
0.018133,1,13,1
0.019648,1,14,1
0.029109,3,13,1
0.064639,1,13,1
0.028586,2,13,1
0.052935,2,13,1
0.016851,1,13,1
0.015789,1,13,1
0.017511,1,13,1
0.010385,1,18,1
0.017223,1,14,1
0.012071,2,12,1
0.001921,0,0,1
0.0017938,0,0,0
0.0091828,0,0,0
0.003922,0,0,0
0.0072803,0,0,0
0.0023413,0,0,0
0.004222,0,0,0
0.00051425,0,0,0
0.0050776,0,0,0
0.0057332,0,0,0
0.0012748,0,0,0
0.0038995,0,0,0
0.0026822,0,0,0
0.0084896,0,0,0
0.0045892,0,0,0
0.0018211,0,0,0
0.0048789,0,0,0
0.006002,0,0,0
0.0047016,0,0,0
0.0042172,0,0,0
0.015203,1,12,0
0.0055432,0,0,0
0.0074417,0,0,0
0.0048458,0,0,0
0.0050197,0,0,0
0.0034342,0,0,0
0.0026225,0,0,0
0.01195,2,12,0
0.002826,0,0,0
0.0092,0,0,0
0.0068255,0,0,0
0.0093862,0,0,0
0.012458,1,9,0
0.011677,1,7,0
0.011249,1,9,0
0.0147,2,10,0
