@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0,139,0
0.0018745,145,0
9.5349e-05,154,0
0.0061471,44,0
0.0048007,52,1
0.010119,21,1
0.020371,126,1
0.037415,55,1
0.096744,54,1
0.10743,53,1
0.10573,51,1
0.13066,48,1
0.17721,47,1
0.15962,47,1
0.16525,49,1
0.15358,47,1
0.15277,45,1
0.1871,47,1
0.15805,46,1
0.19345,43,1
0.16755,42,1
0.18081,42,1
0.17375,43,1
0.1515,44,1
0.13849,44,1
0.14349,45,1
0.15738,44,1
0.13531,43,1
0.16358,41,1
0.16034,40,1
0.13342,39,1
0.13179,39,1
0.15077,130,1
0.14434,38,1
0.12799,38,1
0.13674,37,1
0.13419,127,1
0.13444,36,1
0.14651,36,1
0.14157,124,1
0.14282,35,1
0.14198,35,1
0.14211,35,1
0.15069,36,1
0.17295,36,1
0.14604,36,1
0.1532,37,1
0.12622,36,1
0.10845,37,1
0.086025,37,1
0.091299,34,1
0.094761,32,1
0.076718,31,1
0.067838,31,1
0.057679,34,1
0.049062,39,1
0.036643,43,1
0.020655,56,1
0.014084,54,1
0.008444,38,1
0.0039018,115,1
0.006042,29,0
0.0057425,31,0
0.0010012,41,0
0,29,0
0.0033957,117,0
0.0035609,38,0
0.0041224,92,0
0.0068133,21,0
0.010613,15,0
0.011031,16,0
0.0092151,15,0
0.0079397,32,0
0.007625,41,0
0.0072515,4,0
0.010882,58,0
0.012858,34,0
0.0075008,20,0
0.0044509,31,0
0.0017572,60,0
0.00017143,137,0
0,134,0
0,85,0
0,43,0
0.0013996,141,0
0.0033731,34,0
0.0057173,30,1
0.028613,42,1
0.088321,42,1
0.085425,43,1
0.098501,44,1
0.12843,44,1
0.12993,42,1
0.12152,41,1
0.12694,41,1
0.13645,41,1
0.11148,41,1
0.12781,42,1
0.12199,42,1
0.13065,42,1
0.13231,42,1
0.12021,137,1
0.13762,138,1
0.12747,137,1
0.12925,136,1
0.13359,42,1
0.14381,43,1
0.13185,44,1
0.11334,46,1
0.12483,147,1
0.12884,48,1
0.12366,48,1
0.12435,49,1
0.11583,49,1
0.11084,50,1
0.12102,50,1
0.13122,49,1
0.13111,49,1
0.14449,48,1
0.12506,47,1
0.13165,48,1
0.13602,48,1
0.13095,47,1
0.1269,46,1
