@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0,5.2854,0,0,139,0
0.15759,5.2594,215.33,0.0018745,145,0
5.9154,5.3065,1205.9,9.5349e-05,154,0
21.998,5.4885,172.27,0.0061471,44,0
24.071,5.5117,172.27,0.0048007,52,1
0,5.2883,0,0.010119,21,1
1160.5,4.7392,0,0.020371,126,1
1670.4,4.759,0,0.037415,55,1
1407.1,4.5461,0,0.096744,54,1
1598.3,4.6393,0,0.10743,53,1
1842.2,4.8211,21.533,0.10573,51,1
1952.5,4.6152,21.533,0.13066,48,1
2226.7,4.3435,21.533,0.17721,47,1
2375.4,4.5463,43.066,0.15962,47,1
2358.3,4.637,21.533,0.16525,49,1
2597.1,4.7844,21.533,0.15358,47,1
2745.6,4.518,43.066,0.15277,45,1
2886.2,4.6711,43.066,0.1871,47,1
3033.4,4.7898,43.066,0.15805,46,1
3725.3,4.658,43.066,0.19345,43,1
3422.7,4.3657,64.6,0.16755,42,1
3511.9,4.457,64.6,0.18081,42,1
3401.5,4.4561,43.066,0.17375,43,1
3054.1,4.4385,43.066,0.1515,44,1
2941.7,4.3903,43.066,0.13849,44,1
2857.4,4.3383,43.066,0.14349,45,1
2993.6,4.4427,43.066,0.15738,44,1
2809.4,4.5054,43.066,0.13531,43,1
2897,4.3734,64.6,0.16358,41,1
2921.1,4.2427,64.6,0.16034,40,1
3196,4.3726,64.6,0.13342,39,1
3245.7,4.2772,64.6,0.13179,39,1
3262.8,4.332,64.6,0.15077,130,1
3208.2,4.3417,86.133,0.14434,38,1
3208.3,4.4547,86.133,0.12799,38,1
3284.9,4.394,86.133,0.13674,37,1
3417.2,4.2068,86.133,0.13419,127,1
3494.2,4.186,86.133,0.13444,36,1
3596.6,4.206,86.133,0.14651,36,1
3678.7,4.1119,86.133,0.14157,124,1
3761.1,4.1733,86.133,0.14282,35,1
3772.8,4.0683,86.133,0.14198,35,1
3837.5,4.0698,86.133,0.14211,35,1
3925.1,4.1639,86.133,0.15069,36,1
3925.4,4.1979,86.133,0.17295,36,1
3952.4,4.1153,86.133,0.14604,36,1
3808,3.9727,86.133,0.1532,37,1
3530.5,3.8876,86.133,0.12622,36,1
3353.9,3.8163,86.133,0.10845,37,1
3356.7,3.8153,86.133,0.086025,37,1
3541.6,3.707,86.133,0.091299,34,1
3855.5,3.5803,107.67,0.094761,32,1
3259.6,3.6082,107.67,0.076718,31,1
2710.1,3.8238,107.67,0.067838,31,1
1808.1,3.9439,107.67,0.057679,34,1
1567,4.0169,86.133,0.049062,39,1
501.32,4.609,43.066,0.036643,43,1
85.688,5.2066,0,0.020655,56,1
7.1929,5.5821,107.67,0.014084,54,1
9.2935,5.4706,86.133,0.008444,38,1
13.358,5.3391,107.67,0.0039018,115,1
0,4.8904,86.133,0.006042,29,0
10.662,5.0393,107.67,0.0057425,31,0
10.671,5.0413,64.6,0.0010012,41,0
15.07,5.2364,0,0,29,0
15.997,5.2043,0,0.0033957,117,0
23.348,5.3315,0,0.0035609,38,0
30.255,5.3726,215.33,0.0041224,92,0
36.757,5.4139,1873.4,0.0068133,21,0
23.758,5.3216,1894.9,0.010613,15,0
0.55085,5.2756,1765.7,0.011031,16,0
35.624,5.4947,172.27,0.0092151,15,0
35.419,5.5056,1938,0.0079397,32,0
53.087,5.5974,107.67,0.007625,41,0
54.157,5.6045,1981.1,0.0072515,4,0
37.883,5.4481,1916.5,0.010882,58,0
48.124,5.5428,129.2,0.012858,34,0
48.154,5.564,150.73,0.0075008,20,0
32.178,5.4406,107.67,0.0044509,31,0
23.604,5.5286,43.066,0.0017572,60,0
10.425,5.404,172.27,0.00017143,137,0
0,5.3125,150.73,0,134,0
0,5.3636,301.46,0,85,0
1.3852,5.4497,21.533,0,43,0
23.648,5.4852,172.27,0.0013996,141,0
43.8,5.5506,409.13,0.0033731,34,0
44.562,5.4407,452.2,0.0057173,30,1
844.92,4.4832,430.66,0.028613,42,1
1193.6,4.2961,409.13,0.088321,42,1
1654.7,4.5453,387.6,0.085425,43,1
1871.5,4.5873,387.6,0.098501,44,1
1940.3,4.4656,387.6,0.12843,44,1
2086.5,4.476,387.6,0.12993,42,1
2266.3,4.6013,409.13,0.12152,41,1
2243.5,4.4307,409.13,0.12694,41,1
2310.1,4.4819,409.13,0.13645,41,1
2296,4.4098,409.13,0.11148,41,1
2304.9,4.4951,409.13,0.12781,42,1
2312.3,4.4804,409.13,0.12199,42,1
2327.7,4.422,409.13,0.13065,42,1
2409.6,4.5704,409.13,0.13231,42,1
